record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
51,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I1,S3,79.2,T2,2,80.0
52,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I1,S4,82.3,T3,2,79.2
53,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I2,S1,76.2,T4,2,82.3
54,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I2,S2,74.8,T5,2,76.2
55,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I2,S3,77.1,T6,2,74.8
56,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I2,S4,74.4,T7,2,77.1
57,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I3,S1,70.6,T8,2,74.4
58,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I3,S2,69.9,T9,2,70.6
59,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I3,S3,67.3,T10,2,69.9
60,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,,,,,I3,S4,68.2,T11,2,67.3
61,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,T12,68,68.2,67.9,I1,S1,80.2,T13,1,81.4
62,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,T13,81.4,81,80.4,I1,S2,80.0,T1,2,80.2
63,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I1,S3,79.2,T2,2,80.0
64,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I1,S4,82.3,T3,2,79.2
65,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I2,S1,76.2,T4,2,82.3
66,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I2,S2,74.8,T5,2,76.2
67,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I2,S3,77.1,T6,2,74.8
68,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I2,S4,74.4,T7,2,77.1
69,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I3,S1,70.6,T8,2,74.4
70,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I3,S2,69.9,T9,2,70.6
71,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I3,S3,67.3,T10,2,69.9
72,,I3,S1,1.0,2.0,36.7,,I3,S2,3.0,2.0,42.9,I2,S3,1,2,36.2,I2,S4,9,2,41.9,,,,,I3,S4,68.2,T11,2,67.3
